actions,calories,carbs,fat,name,restaurant
http://chubbygrub.com/food/focaccia-loaf-vg-whole/,1040,190,15,Focaccia Loaf – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/focaccia-with-asiago-cheese/,160,23,5,Focaccia with Asiago Cheese,Panera Bread
http://chubbygrub.com/food/french-baguette-2/,90,19,0,French Baguette,Atlanta Bread Company
http://chubbygrub.com/food/french-baguette-3/,150,30,1,French Baguette,Panera Bread
http://chubbygrub.com/food/french-loaf-2/,110,23,0,French Loaf,Atlanta Bread Company
http://chubbygrub.com/food/french-miche/,140,28,0.5,French Miche,Panera Bread
http://chubbygrub.com/food/french-roll-2/,160,34,0.5,French Roll,Atlanta Bread Company
http://chubbygrub.com/food/bacon-egg-and-cheese-bagel/,560,56,27,"Bacon, Egg & Cheese Bagel",McDonald's
http://chubbygrub.com/food/bacon-egg-and-cheese-biscuit-3/,460,,26,"Bacon, Egg & Cheese Biscuit",Carl's Jr.
http://chubbygrub.com/food/bacon-egg-and-cheese-biscuit-4/,420,37,23,"Bacon, Egg & Cheese Biscuit",McDonald's
http://chubbygrub.com/food/bacon-egg-and-cheese-biscuit-5/,480,43,27,"Bacon, Egg & Cheese Biscuit",McDonald's
http://chubbygrub.com/food/bacon-egg-and-cheese-mcgriddles/,420,48,18,"Bacon, Egg & Cheese McGriddles®",McDonald's
http://chubbygrub.com/food/bacon-egg-and-cheese-on-ciabatta/,510,43,25,"Bacon, Egg & Cheese on Ciabatta",Panera Bread
http://chubbygrub.com/food/bacon-egg-and-cheese-with-avocado-3-flatbread/,240,23,12,"Bacon, Egg & Cheese with Avocado 3″ Flatbread",Subway
http://chubbygrub.com/food/bacon-egg-white-and-cheese-with-avocado-3-flatbread/,220,23,9,"Bacon, Egg (white) & Cheese with Avocado 3″ Flatbread",Subway
http://chubbygrub.com/food/bacon-egg-white-and-cheese-3-flatbread/,190,21,7,"Bacon, Egg (White) and Cheese 3″ Flatbread",Subway
http://chubbygrub.com/food/bacon-egg-and-cheese-3-flatbread/,210,21,9,"Bacon, Egg and Cheese 3″ Flatbread",Subway
http://chubbygrub.com/food/black-forest-ham-egg-and-cheese-3-flatbread/,200,22,8,"Black Forest Ham, Egg & Cheese 3″ Flatbread",Subway
http://chubbygrub.com/food/black-forest-ham-egg-white-and-cheese-3-flatbread/,180,22,5,"Black Forest Ham, Egg White & Cheese 3″ Flatbread",Subway
http://chubbygrub.com/food/breakfast-bmt-melt-with-egg-white-3-flatbread/,230,22,10,Breakfast B.M.T. ® Melt (with Egg White) 3″ Flatbread,Subway
http://chubbygrub.com/food/breakfast-bmt-melt-with-regular-egg-3-flatbread/,250,22,12,Breakfast B.M.T. ® Melt (with regular egg) 3″ Flatbread,Subway
http://chubbygrub.com/food/breakfast-power-on-whole-grain/,340,31,15,Breakfast Power on Whole Grain,Panera Bread
http://chubbygrub.com/food/chicken-apple-sausage-panini-egg-whites/,460,460,460,Chicken Apple Sausage Panini (Egg Whites),Corner Bakery Cafe
http://chubbygrub.com/food/french-toast/,350,67,5,French Toast,Panera Bread
http://chubbygrub.com/food/harvest-vg-slice/,170,30,2.5,Harvest – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/harvest-vg-whole/,2080,401,15,Harvest – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/honey-wheat-bread-2/,140,28,1.5,Honey Wheat Bread,Atlanta Bread Company
http://chubbygrub.com/food/honey-wheat-loaf/,170,30,3,Honey Wheat Loaf,Panera Bread
http://chubbygrub.com/food/hot-cross-buns/,220,38,6,Hot Cross Buns,Panera Bread
http://chubbygrub.com/food/jalapeno-and-cheddar/,310,56,3,Jalapeno & Cheddar,Panera Bread
http://chubbygrub.com/food/moms-white-v-slice/,130,21,3.5,Mom’s White – V (slice),Corner Bakery Cafe
http://chubbygrub.com/food/moms-white-v-whole/,2090,314,67,Mom’s White – V (whole),Corner Bakery Cafe
http://chubbygrub.com/food/nine-grain-bread-2/,120,22,2,Nine Grain Bread,Atlanta Bread Company
http://chubbygrub.com/food/panini-bread-2/,430,78,8,Panini Bread,Atlanta Bread Company
http://chubbygrub.com/food/plain/,290,59,1.5,Plain,Panera Bread
http://chubbygrub.com/food/poblano-cheese-batard-v/,410,60,13,Poblano Cheese Batard – V,Corner Bakery Cafe
http://chubbygrub.com/food/pretzel-demi-v/,410,77,5,Pretzel Demi – V,Corner Bakery Cafe
http://chubbygrub.com/food/pumpernickel-loaf-2/,110,22,1,Pumpernickel Loaf,Atlanta Bread Company
http://chubbygrub.com/food/raisin-pecan-miche-vg-slice/,140,23,4,Raisin Pecan Miche – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/raisin-pecan-miche-vg-whole/,2070,340,61,Raisin Pecan Miche – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/chicken-apple-sausage-panini-whole-eggs/,540,38,24,Chicken Apple Sausage Panini (Whole Eggs),Corner Bakery Cafe
http://chubbygrub.com/food/egg-and-cheese-3-flatbread/,190,21,7,Egg & Cheese 3″ Flatbread,Subway
http://chubbygrub.com/food/egg-and-cheese-on-ciabatta/,390,43,15,Egg & Cheese on Ciabatta,Panera Bread
http://chubbygrub.com/food/egg-white-and-cheese-3-flatbread/,170,21,5,Egg (White) & Cheese 3″ Flatbread,Subway
http://chubbygrub.com/food/egg-mcmuffin/,300,30,12,Egg McMuffin®,McDonald's
http://chubbygrub.com/food/egg-white-with-cheese-and-avocado-3-flatbread/,200,23,8,Egg White with Cheese and Avocado 3″ Flatbread,Subway
http://chubbygrub.com/food/egg-white-with-cheese-and-avocado-3-flatbread-2/,200,23,8,Egg White with Cheese and Avocado 3″ Flatbread,Subway
http://chubbygrub.com/food/english-muffin/,160,27,3,English Muffin,McDonald's
